job_id,role,sim_min,sim_max,n,sim_range
JOB_0,Software Engineer,0.4895515143871307,0.5324651002883911,10,0.04291358590126043
JOB_1,Software Engineer,0.4315763115882873,0.4832310676574707,10,0.051654756069183405
JOB_10,Data Scientist,0.5803098678588867,0.6095295548439026,10,0.02921968698501587
JOB_100,Electrician,0.7184923887252808,0.7670491337776184,10,0.048556745052337646
JOB_101,Electrician,0.732323408126831,0.7780965566635132,10,0.04577314853668213
JOB_102,Electrician,0.6044834852218628,0.6342700719833374,10,0.02978658676147461
JOB_103,Electrician,0.681416392326355,0.7030365467071533,10,0.02162015438079834
JOB_104,Mechanical Technician,0.5574840307235718,0.6017276644706726,10,0.04424363374710083
JOB_105,Mechanical Technician,0.5659563541412354,0.616517186164856,10,0.050560832023620605
JOB_106,Mechanical Technician,0.5244680643081665,0.5829997658729553,10,0.05853170156478882
JOB_107,Mechanical Technician,0.6089726686477661,0.6411139965057373,10,0.03214132785797119
JOB_108,Mechanical Technician,0.6621420383453369,0.6849278211593628,10,0.02278578281402588
JOB_109,Mechanical Technician,0.492453783750534,0.5613492131233215,10,0.06889542937278753
JOB_11,Data Scientist,0.5013390183448792,0.5538061857223511,10,0.052467167377471924
JOB_110,Mechanical Technician,0.5994814038276672,0.6483218669891357,10,0.048840463161468506
JOB_111,Mechanical Technician,0.5063056349754333,0.5426345467567444,10,0.036328911781311035
JOB_112,Construction Supervisor,0.7026130557060242,0.7349224090576172,10,0.03230935335159302
JOB_113,Construction Supervisor,0.7939194440841675,0.8293920755386353,10,0.03547263145446777
JOB_114,Construction Supervisor,0.6269083619117737,0.6527009606361389,10,0.025792598724365234
JOB_115,Construction Supervisor,0.702004611492157,0.7229640483856201,10,0.020959436893463135
JOB_116,Construction Supervisor,0.7253432273864746,0.7395833730697632,10,0.014240145683288574
JOB_117,Construction Supervisor,0.5778372287750244,0.6222606301307678,10,0.04442340135574341
JOB_118,Construction Supervisor,0.7323272228240967,0.7632715702056885,10,0.030944347381591797
JOB_119,Construction Supervisor,0.7040994167327881,0.7270305156707764,10,0.02293109893798828
JOB_12,Data Scientist,0.4493924379348755,0.4845146536827087,10,0.035122215747833196
JOB_120,Policy Analyst,0.7146245241165161,0.7264870405197144,10,0.011862516403198242
JOB_121,Policy Analyst,0.6984633207321167,0.7108471393585205,10,0.012383818626403809
JOB_122,Policy Analyst,0.6239111423492432,0.6498295068740845,10,0.02591836452484131
JOB_123,Policy Analyst,0.7357220649719238,0.7623064517974854,10,0.026584386825561523
JOB_124,Policy Analyst,0.7116190195083618,0.7266101241111755,10,0.01499110460281372
JOB_125,Policy Analyst,0.7273107767105103,0.7590067386627197,10,0.03169596195220947
JOB_126,Policy Analyst,0.6773723363876343,0.7079697847366333,10,0.030597448348999023
JOB_127,Policy Analyst,0.6539607048034668,0.6861680746078491,10,0.032207369804382324
JOB_128,Social Worker,0.6124380826950073,0.6680204272270203,10,0.05558234453201294
JOB_129,Social Worker,0.6081981658935547,0.6383318901062012,10,0.030133724212646484
JOB_13,Data Scientist,0.4496892690658569,0.4788718223571777,10,0.0291825532913208
JOB_130,Social Worker,0.6538519263267517,0.6856093406677246,10,0.0317574143409729
JOB_131,Social Worker,0.6007890701293945,0.6443642973899841,10,0.0435752272605896
JOB_132,Social Worker,0.6416435241699219,0.6867812871932983,10,0.045137763023376465
JOB_133,Social Worker,0.5258253812789917,0.5578035712242126,10,0.03197818994522095
JOB_134,Social Worker,0.5002017021179199,0.5502347350120544,10,0.05003303289413452
JOB_135,Social Worker,0.6273788809776306,0.6627485156059265,10,0.0353696346282959
JOB_136,Graphic Designer,0.72060227394104,0.7414311170578003,10,0.020828843116760254
JOB_137,Graphic Designer,0.5699845552444458,0.5979360342025757,10,0.027951478958129883
JOB_138,Graphic Designer,0.7151046991348267,0.7425448894500732,10,0.027440190315246582
JOB_139,Graphic Designer,0.6424722075462341,0.684237539768219,10,0.04176533222198486
JOB_14,Data Scientist,0.5324885845184326,0.5590988993644714,10,0.02661031484603882
JOB_140,Graphic Designer,0.7075836658477783,0.7541947960853577,10,0.046611130237579346
JOB_141,Graphic Designer,0.7063635587692261,0.756644606590271,10,0.05028104782104492
JOB_142,Graphic Designer,0.6754374504089355,0.7171886563301086,10,0.041751205921173096
JOB_143,Graphic Designer,0.669684886932373,0.7008847594261169,10,0.031199872493743896
JOB_15,Data Scientist,0.4304161369800567,0.4604226350784302,10,0.03000649809837347
JOB_16,Product Manager,0.6482849717140198,0.6790668964385986,10,0.030781924724578857
JOB_17,Product Manager,0.5552652478218079,0.5850979089736938,10,0.029832661151885986
