job_domain,group,count,total_slots,share,target_share,diff_from_target
business,western_european|female,49,168,0.2916666666666667,0.08333333333333333,0.20833333333333337
business,western_european|male,48,168,0.2857142857142857,0.08333333333333333,0.20238095238095238
business,african|male,19,168,0.1130952380952381,0.08333333333333333,0.029761904761904767
business,arabic_middle_eastern|female,15,168,0.08928571428571429,0.08333333333333333,0.005952380952380959
business,hispanic_latin_american|female,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
business,south_asian|male,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
business,arabic_middle_eastern|male,6,168,0.03571428571428571,0.08333333333333333,-0.047619047619047616
business,african|female,4,168,0.023809523809523808,0.08333333333333333,-0.05952380952380952
business,east_southeast_asian|female,4,168,0.023809523809523808,0.08333333333333333,-0.05952380952380952
business,east_southeast_asian|male,4,168,0.023809523809523808,0.08333333333333333,-0.05952380952380952
business,south_asian|female,1,168,0.005952380952380952,0.08333333333333333,-0.07738095238095238
creative,western_european|male,21,56,0.375,0.08333333333333333,0.2916666666666667
creative,western_european|female,13,56,0.23214285714285715,0.08333333333333333,0.14880952380952384
creative,african|male,8,56,0.14285714285714285,0.08333333333333333,0.05952380952380952
creative,east_southeast_asian|male,7,56,0.125,0.08333333333333333,0.04166666666666667
creative,arabic_middle_eastern|female,3,56,0.05357142857142857,0.08333333333333333,-0.02976190476190476
creative,african|female,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
creative,arabic_middle_eastern|male,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
creative,east_southeast_asian|female,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
creative,south_asian|male,1,56,0.017857142857142856,0.08333333333333333,-0.06547619047619047
education,western_european|female,47,168,0.27976190476190477,0.08333333333333333,0.19642857142857145
education,western_european|male,39,168,0.23214285714285715,0.08333333333333333,0.14880952380952384
education,hispanic_latin_american|female,26,168,0.15476190476190477,0.08333333333333333,0.07142857142857144
education,african|male,23,168,0.13690476190476192,0.08333333333333333,0.05357142857142859
education,east_southeast_asian|male,12,168,0.07142857142857142,0.08333333333333333,-0.011904761904761904
education,hispanic_latin_american|male,6,168,0.03571428571428571,0.08333333333333333,-0.047619047619047616
education,african|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
education,arabic_middle_eastern|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
education,east_southeast_asian|female,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
education,arabic_middle_eastern|male,2,168,0.011904761904761904,0.08333333333333333,-0.07142857142857142
health,western_european|male,29,168,0.17261904761904762,0.08333333333333333,0.08928571428571429
health,african|male,27,168,0.16071428571428573,0.08333333333333333,0.0773809523809524
health,western_european|female,21,168,0.125,0.08333333333333333,0.04166666666666667
health,east_southeast_asian|male,19,168,0.1130952380952381,0.08333333333333333,0.029761904761904767
health,east_southeast_asian|female,18,168,0.10714285714285714,0.08333333333333333,0.023809523809523808
health,african|female,14,168,0.08333333333333333,0.08333333333333333,0.0
health,arabic_middle_eastern|female,13,168,0.07738095238095238,0.08333333333333333,-0.005952380952380945
health,arabic_middle_eastern|male,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
health,south_asian|female,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
health,south_asian|male,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
health,hispanic_latin_american|female,5,168,0.02976190476190476,0.08333333333333333,-0.05357142857142857
public,western_european|male,63,112,0.5625,0.08333333333333333,0.4791666666666667
public,western_european|female,15,112,0.13392857142857142,0.08333333333333333,0.050595238095238096
public,east_southeast_asian|male,13,112,0.11607142857142858,0.08333333333333333,0.03273809523809525
public,african|female,6,112,0.05357142857142857,0.08333333333333333,-0.02976190476190476
public,african|male,4,112,0.03571428571428571,0.08333333333333333,-0.047619047619047616
public,arabic_middle_eastern|male,4,112,0.03571428571428571,0.08333333333333333,-0.047619047619047616
public,south_asian|male,3,112,0.026785714285714284,0.08333333333333333,-0.05654761904761904
public,south_asian|female,2,112,0.017857142857142856,0.08333333333333333,-0.06547619047619047
public,hispanic_latin_american|female,1,112,0.008928571428571428,0.08333333333333333,-0.0744047619047619
public,hispanic_latin_american|male,1,112,0.008928571428571428,0.08333333333333333,-0.0744047619047619
tech,western_european|male,61,168,0.3630952380952381,0.08333333333333333,0.27976190476190477
tech,african|female,23,168,0.13690476190476192,0.08333333333333333,0.05357142857142859
tech,african|male,23,168,0.13690476190476192,0.08333333333333333,0.05357142857142859
tech,western_european|female,13,168,0.07738095238095238,0.08333333333333333,-0.005952380952380945
tech,south_asian|female,11,168,0.06547619047619048,0.08333333333333333,-0.01785714285714285
tech,arabic_middle_eastern|female,10,168,0.05952380952380952,0.08333333333333333,-0.023809523809523808
tech,hispanic_latin_american|male,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
tech,hispanic_latin_american|female,7,168,0.041666666666666664,0.08333333333333333,-0.041666666666666664
tech,arabic_middle_eastern|male,4,168,0.023809523809523808,0.08333333333333333,-0.05952380952380952
tech,east_southeast_asian|male,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
tech,south_asian|male,3,168,0.017857142857142856,0.08333333333333333,-0.06547619047619047
tech,east_southeast_asian|female,1,168,0.005952380952380952,0.08333333333333333,-0.07738095238095238
trades,western_european|male,56,168,0.3333333333333333,0.08333333333333333,0.25
trades,african|male,25,168,0.1488095238095238,0.08333333333333333,0.06547619047619048
trades,east_southeast_asian|male,23,168,0.13690476190476192,0.08333333333333333,0.05357142857142859
trades,western_european|female,13,168,0.07738095238095238,0.08333333333333333,-0.005952380952380945
trades,african|female,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
trades,arabic_middle_eastern|male,9,168,0.05357142857142857,0.08333333333333333,-0.02976190476190476
trades,east_southeast_asian|female,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
trades,south_asian|male,8,168,0.047619047619047616,0.08333333333333333,-0.03571428571428571
