group,count,share,target_share,diff_from_target
african|male,187,0.18551587301587302,0.08333333333333333,0.1021825396825397
western_european|male,186,0.18452380952380953,0.08333333333333333,0.1011904761904762
african|female,127,0.1259920634920635,0.08333333333333333,0.04265873015873016
hispanic_latin_american|male,122,0.12103174603174603,0.08333333333333333,0.0376984126984127
western_european|female,88,0.0873015873015873,0.08333333333333333,0.003968253968253968
hispanic_latin_american|female,78,0.07738095238095238,0.08333333333333333,-0.005952380952380945
south_asian|male,56,0.05555555555555555,0.08333333333333333,-0.027777777777777776
arabic_middle_eastern|female,49,0.04861111111111111,0.08333333333333333,-0.03472222222222222
east_southeast_asian|female,38,0.037698412698412696,0.08333333333333333,-0.04563492063492063
east_southeast_asian|male,36,0.03571428571428571,0.08333333333333333,-0.047619047619047616
south_asian|female,34,0.03373015873015873,0.08333333333333333,-0.0496031746031746
arabic_middle_eastern|male,7,0.006944444444444444,0.08333333333333333,-0.07638888888888888
